analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,adjustment,term,term_label,reference,log_or,or,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_education_raw)[T.2.0],2.0,1,0.026382,1.0267,0.8728,1.2078,0.750268
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_education_raw)[T.3.0],3.0,1,-0.370154,0.6906,0.5032,0.9479,0.021957
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_marital_status_raw)[T.4.0],4.0,1,0.466557,1.5945,0.8151,3.1192,0.17296
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_marital_status_raw)[T.5.0],5.0,1,0.26057,1.2977,1.0137,1.6612,0.03863
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_marital_status_raw)[T.7.0],7.0,1,0.229108,1.2575,1.0456,1.5122,0.014926
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_marital_status_raw)[T.8.0],8.0,1,0.295912,1.3444,0.9651,1.8726,0.080119
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_smoking_raw)[T.1.0],1.0,1,0.370356,1.4483,1.1925,1.7588,0.000187
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_drinking_raw)[T.1.0],1.0,1,-0.127925,0.8799,0.7199,1.0755,0.211572
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_rural_region_raw)[T.1.0],1.0,1,-0.020204,0.98,0.7254,1.324,0.895295
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_physical_activity_raw)[T.3.0],3.0,1,0.337796,1.4019,1.0003,1.9645,0.049771
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_physical_activity_raw)[T.4.0],4.0,1,0.316673,1.3726,0.9564,1.9699,0.085822
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_physical_activity_raw)[T.5.0],5.0,1,0.613476,1.8468,1.445,2.3604,1e-06
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,age,age,1,0.07753,1.0806,1.0709,1.0905,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,Intercept,Intercept,1,-1.207955,0.2988,0.1621,0.5508,0.000108
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,-25.344723,0.0,0.0,inf,0.998577
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,3.462686,31.9025,26.218,38.8196,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,"C(endotype_class, Treatment(reference='1'))[T.4]",4,1,4.700293,109.9794,82.9895,145.7468,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_education_raw)[T.2.0],2.0,1,-0.274775,0.7597,0.6239,0.9251,0.006242
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_education_raw)[T.3.0],3.0,1,-0.35844,0.6988,0.5421,0.9007,0.00564
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_marital_status_raw)[T.3.0],3.0,1,0.097717,1.1027,0.5442,2.2341,0.786212
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_marital_status_raw)[T.4.0],4.0,1,-0.033297,0.9673,0.4576,2.0444,0.930513
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_marital_status_raw)[T.5.0],5.0,1,-0.322515,0.7243,0.5258,0.9977,0.048401
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,expanded_core,C(cov_marital_status_raw)[T.7.0],7.0,1,-0.19779,0.8205,0.6706,1.004,0.05466
