analysis_set,analysis_tier,cohort,wave,method,class,n,class_pct,mean_functional_score,mean_cognitive_score,mean_affective_score,mean_cardiometabolic_chronic_score
strict_earliest_primary,strict_primary,HRS,5,gmm_diag,1,8311,81.46441874142324,-0.41330902586135987,-0.12063615274381277,-0.1580721871985406,-0.157492938703959
strict_earliest_primary,strict_primary,HRS,5,gmm_diag,2,306,2.9994118800235245,0.39528148245099265,-0.07628621330518168,-0.30987453501037837,-0.47879560813125244
strict_earliest_primary,strict_primary,HRS,5,gmm_diag,3,637,6.24387375024505,0.39528148245099265,0.6493732536965127,0.8339553544031562,0.8534335500591693
strict_earliest_primary,strict_primary,HRS,5,gmm_diag,4,948,9.292295628308175,2.078139154286722,0.6372282314085519,0.9172286843517988,0.5922498555837702
strict_earliest_primary,strict_primary,HRS,5,kmeans,1,4234,41.501666339933344,-0.35353367652225576,-0.746294742041327,-0.48169961761667507,-0.5950704099850419
strict_earliest_primary,strict_primary,HRS,5,kmeans,2,2254,22.093707116251714,-0.2848816070610838,0.9040417823213903,-0.3850768361585095,-0.32730703872004396
strict_earliest_primary,strict_primary,HRS,5,kmeans,3,1667,16.339933346402667,-0.18872749895756907,0.03976347027109891,-0.1865828907978431,1.430811425722977
strict_earliest_primary,strict_primary,HRS,5,kmeans,4,1422,13.938443442462262,-0.13866119497889412,0.3492280705124644,1.7542385330435075,0.029805450577887155
strict_earliest_primary,strict_primary,HRS,5,kmeans,5,625,6.12624975495001,2.493735569623209,0.8816099495915046,1.1459018442599824,0.7670191177184424
strict_earliest_primary,strict_primary,HRS,5,severity_quantile_k,1,2041,20.00588119976475,-0.40419703091222514,-1.0013909868906006,-0.6933125191327077,-0.8451461074731809
strict_earliest_primary,strict_primary,HRS,5,severity_quantile_k,2,2040,19.99607920015683,-0.3847705373326886,-0.3886576974173249,-0.4763899750124728,-0.4719217249834035
strict_earliest_primary,strict_primary,HRS,5,severity_quantile_k,3,2040,19.99607920015683,-0.3419628045396817,0.02025405527881467,-0.23719431167933916,-0.08403831878335376
strict_earliest_primary,strict_primary,HRS,5,severity_quantile_k,4,2040,19.99607920015683,-0.1794519670847481,0.41175253216263696,0.2527361022633005,0.29157029608125135
