analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,term,term_label,log_or,or,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.2]",2,-25.313763,0.0,0.0,inf,0.99856
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.3]",3,3.497808,33.0429,27.3933,39.8577,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,"C(endotype_class, Treatment(reference='1'))[T.4]",4,4.738731,114.2891,88.0461,148.3539,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,age,age,-0.028068,0.9723,0.9647,0.98,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,Intercept,Intercept,-5.825913,0.003,0.0016,0.0056,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.204691,1.2271,1.0427,1.4442,0.013768
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.831779,2.2974,1.735,3.042,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,functional_score,functional_score,-1.783105,0.1681,0.1393,0.2028,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,age,age,0.066575,1.0688,1.0589,1.0788,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,Intercept,Intercept,-5.300476,0.005,0.003,0.0082,0.0
