analysis_set,analysis_tier,cohort,wave,method,target_classes,replicate_id,adjusted_rand_index_vs_full_fit,replicate_min_class_pct_on_full_data,replicate_converged,skip_reason
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,94,0.9648531721263011,15.118790496760258,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,95,0.9783765617864938,15.83319488287091,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,96,0.26701371233856186,14.038876889848812,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,97,0.8806007431267683,15.235088885196877,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,98,0.8940940345406394,15.83319488287091,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,99,0.27601051435111557,14.653596943013788,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,100,0.2634039225754844,13.22478817079249,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,1,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,2,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,3,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,4,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,5,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,6,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,7,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,8,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,9,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,10,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,11,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,12,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,13,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,14,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,15,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,16,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,17,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,18,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,19,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,20,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,21,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,22,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,23,1.0,33.32779531483635,1,
